type;x;y;handle;name
point;-18236.4466;-11678.7395;1564e;42
point;-19233.6825;-5035.6553;1564c;
point;-17249.2216;-8673.9008;15614;3 CW
point;-18165.8146;-9425.1853;15613;2 CW
point;-19115.4382;-10151.7023;15612;1 CW
point;-20299.0912;-11054.9526;15611;WC
point;-20264.7694;-7306.0561;15610;4 CW
point;-22190.154;-5681.9326;1560f;5 CW
point;-21235.8285;-5037.1378;1560e;6 CW
point;-19682.4903;-5233.8529;1560d;WC
point;-18536.448;-5202.3911;1560c;
point;-18130.4593;-5749.4793;1560b;
point;-17789.1933;-6155.3835;1560a;
point;-17089.0098;-5590.6473;15609;
point;-17371.4368;-5814.1888;15608;
point;-17995.1297;-5072.9724;15607;
point;-17432.1053;-6597.308;15602;
point;-17110.7358;-6340.266;15601;
point;-16682.243;-6045.7387;15600;
point;-16312.668;-5563.7848;155ff;
point;-16714.38;-5087.186;155fe;
point;-17030.3933;-4669.4926;155fd;
point;-17491.0231;-4594.522;155fc;
point;-18026.639;-4594.522;155fb;
point;-18610.4604;-4605.2321;155fa;
point;-19215.7064;-4594.522;155f9;
point;-16634.6106;-7564.4096;155f8;Cafe
point;-18584.72;-11432.7935;155f7;
point;-17281.1507;-10648.1194;155f6;45
point;-17645.4892;-10998.0032;155f5;44
point;-18029.0035;-11254.4249;155f4;43
